id,timestamp,total_price,discount_codes,total_discounts,shipping_country,variant_item_1,variant_item_2,variant_item_3,variant_item_4,variant_item_5
c53b2900-8d29-4e95-af45-4fa0dbbf61e2,2024-02-18 00:25:02.000000,69.73,"[{""amount"":""23.24"",""code"":""SMS25"",""type"":""fixed_amount""}]",23.24,United States,TRU-MSB-51422-014-BLK,TRU-MSB-51422-014-BLK,TRU-MSB-51422-014-BLK,SMNT-SKL-22408-S-L-BLK,SHE-HWL-42075-L-BLK
08574506-1c3e-4c5a-8b88-12ae27698848,2024-04-04 15:22:55.001000,48.93,[],0.00,United States,SHE-OBB-73003-XL-BGE,,,,
908d8fe8-f99a-4906-a7d1-3705a2a2c7c2,2024-04-10 13:25:39.001000,42.18,[],0.00,United States,SHE-SP-54008-XLXXL-BGE,EMP-HWOP-31048-2XL-BLK,SHE-SNC-62001-XXL-BLK,,
6deb3f70-a6a2-4cbe-8323-f3a4476786ba,2024-02-16 21:37:59.000000,92.63,[],0.00,United States,SMNT-FS-22423-L-OCN,TRU-LAB3-10210-2XL-BGE,TRU-LAB-10210-3XL-BGE,TRU-SB-91404-S-NUD,
c6286538-e15b-4c13-82f3-d7d192c1c950,2024-03-28 18:06:10.000000,50.68,"[{""amount"":""5.25"",""code"":""DAZZLE15"",""type"":""fixed_amount""}]",5.25,United States,TRU-LAB3-10210-L-BLK,SHE-SNC-62001-L-BLK,,,
cbf52ca6-8243-4cbf-9528-625b4ce056ec,2024-04-11 14:37:20.000000,77.28,"[{""amount"":""12.75"",""code"":""SHAPE15"",""type"":""fixed_amount""}]",12.75,United States,SHE-TKC-62008-XXL-BLK,SHE-OBC-73001-2XL-BGE,SHE-HWS-55021-XLXXL-BLK,SHE-HWS-55021-XLXXL-BGE,
4d2b38c3-8e9f-419e-b9d7-486424b84abc,2024-02-10 21:37:23.000000,39.94,[],0.00,United States,TRU-LAB3-10210-L-WHT,,,,
2100efa3-4e5a-4257-af2c-c8ebae27ae89,2024-02-11 15:37:41.001000,73.07,"[{""amount"":""12.90"",""code"":""HEARTS15"",""type"":""fixed_amount""}]",12.90,United States,SP-SL-ML-BLK,TRU-LAB-10210-M-BLK,TRU-LAB-10210-M-BGE,SHE-OBC-73001-M-BLK,
ae3e8d31-3865-44a0-a118-076ebdc34bcd,2024-04-11 13:45:51.001000,80.46,"[{""amount"":""3.90"",""code"":""SHAPE15"",""type"":""fixed_amount""}]",3.90,United States,SHE-HWS-55021-ML-CHT,SHE-HWS-55021-ML-BLK-2PK,,,
44e17b04-c75f-4b10-a0a4-bc12530c7807,2024-04-11 09:07:02.000000,53,[],0.00,United States,TRU-SPB-10022-S-BLK,TRU-SPB-10022-S-NUD,,,
c2b78f7a-7944-4539-ad69-d04f64447a02,2024-04-11 05:42:10.000000,49.35,[],0.00,United States,TRU-SB-91404-L-WHT,TRU-SB-91404-L-WHT,,,
d676abeb-997e-47a6-acc7-1281d3809a5c,2024-04-11 17:06:22.001000,34.39,"[{""amount"":""4.50"",""code"":""SHAPE15"",""type"":""fixed_amount""}]",4.50,United States,SHE-EMS-52002-L-LAT,,,,
97836510-bdb5-46ee-bf3b-822398fba9d1,2024-02-01 00:54:41.000000,35.94,[],0.00,United States,TRU-CSB-10400-XL-BLK,,,,
542802f4-836f-46bd-8093-b847232dc634,2024-03-06 06:10:11.001000,29.72,"[{""amount"":""4.95"",""code"":""TREAT15"",""type"":""fixed_amount""}]",4.95,United States,SHE-HWBS-18437-S-BGE,TRU-LAB-10210-M-BLK,,,
d0386c33-6dcc-4fec-9591-191782255741,2024-04-05 15:46:07.000000,101.53,[],0.00,Canada,TRU-WSB-10024-4XL-BLK,TRU-WSB-10024-4XL-BGE,TRU-WSB-10024-4XL-SEA,,
cfea1fd9-2b4b-4cb3-af1d-7ef69a831c9c,2024-03-26 20:51:37.001000,38.14,[],0.00,United States,TRU-SB-91404-L-WHT,SHE-SNC-62001-L-WHT,,,
fe281546-7bdd-419a-ad50-2554a66b56a6,2024-03-05 03:06:12.000000,36.53,"[{""amount"":""5.60"",""code"":""TOMICCREW20"",""type"":""fixed_amount""}]",5.60,Canada,EMP-HWS-55020-ML-BLK,,,,
ec264f62-7398-416f-a6c4-840136285fae,2024-01-21 20:11:21.000000,49.26,"[{""amount"":""10.00"",""code"":""REWARD"",""type"":""fixed_amount""}]",10.00,United States,TRU-LAB3-10210-XL-BGE,EMP-HWC-42024-XL-BLK,,,
be388397-8e19-49b1-aac0-cc390f1af3ef,2024-04-11 12:42:40.001000,138.96,[],0.00,United States,TRU-LAB-10210-3XL-BGE,TRU-LAB-10210-3XL-BLK,TRU-AWS-51401-3XL-BLK,TRU-AWS-51401-3XL-CHAI,SHE-SP-54008-XXXXL-BLK
d8b2fa39-11e1-4e0c-a748-42692cf549d9,2024-04-01 15:17:53.000000,30.74,"[{""amount"":""4.20"",""code"":""SHAPE15"",""type"":""fixed_amount""}]",4.20,United States,EMP-WTS-87045-L-BLK,,,,
50d65b3d-f9da-45ba-8043-8520e73fa526,2024-03-15 08:29:33.001000,201.09,[],0.00,United States,TRU-LAB-10210-3XL-BLK,SHE-SNC-62001-XXL-DPNK,SHE-SNC-62001-XXL-BLK,SHE-SNC-62001-XXL-MBR,SHE-SNC-62001-XXL-ATB
3eb15071-d562-47c7-995a-9f9c843e20d2,2024-04-11 11:30:17.001000,21.94,[],0.00,United States,SHE-HWS-55021-ML-SND,,,,
b59d53ed-0b8e-4cc7-af89-433f9db715f2,2024-04-11 14:54:12.000000,33.24,"[{""amount"":""8.65"",""code"":""FREEFIRST"",""type"":""fixed_amount""}]",8.65,Canada,TRU-SPB-10022-M-RST,,,,
2359dc5c-f1bd-436b-b788-97865485b0ea,2024-02-21 04:33:29.000000,118.97,[],0.00,United States,SHE-SNC-62001-XXXXL-MBR,SHE-SNC-62001-XXXXL-BLK,SHE-SNC-62001-XXXL-BLK,SHE-SNC-62001-XXXL-MBR,SHE-SNC-62001-3XL-BLK-2PK
751158bd-4f0d-4b51-ad90-3af10c651ab9,2024-01-27 16:14:13.000000,96.43,[],0.00,United States,TRU-LAB3-10210-XL-BGE,TRU-LAB3-10210-XL-BLK-2PK,SHE-SNC-62001-XL-BLK,,
6f91d271-cdc7-42a4-82da-a642d9a314e4,2024-03-16 16:30:10.000000,18.99,"[{""amount"":""10.00"",""code"":""USECREDIT"",""type"":""fixed_amount""}]",10.00,United States,TRU-SPB-10022-M-BGE,,,,
52af893f-c186-47b5-91c9-2974fafb1ca8,2024-04-11 15:45:17.000000,31.72,"[{""amount"":""10.00"",""code"":""REWARD"",""type"":""fixed_amount""}]",10.00,Canada,SHE-SP-54008-XLXXL-BLK,EMP-HWS-55020-XLXXL-BLK,,,
ec8ae27f-00d5-45fa-9b34-04473d638507,2024-02-20 04:18:41.001000,114.37,[],0.00,Canada,TRU-WSB-10024-3XL-BLK,SP-SL-XLXXL-BLK,,,
2bf59fae-6f2c-4aa9-b6be-4ae43b662e3f,2024-04-11 10:53:00.000000,29.04,"[{""amount"":""3.90"",""code"":""SHAPE15"",""type"":""fixed_amount""}]",3.90,United States,SHE-HWS-55021-ML-BGE,,,,
3a88b3c4-c0c4-4dde-876d-566c061f09a8,2024-03-07 18:23:11.000000,61.08,"[{""amount"":""8.85"",""code"":""SHAPE15"",""type"":""fixed_amount""}]",8.85,United States,SMNT-WB-22428-LTGRAY,TRU-CSB-10400-3XL-BGE,SHE-SNB-95001-3XL-RED,,
052922c2-430b-41f8-8bc4-f53bf1f07c74,2024-03-26 21:47:59.001000,31.03,[],0.00,United States,SHE-SNC-62001-L-WHT,,,,
bd53f5f5-c7e3-4920-9431-18b252f2e616,2024-03-07 01:35:25.000000,48.13,[],0.00,United States,TRU-SB-91404-XL-NUD,TRU-WSB-10024-XL-SEA,,,
21e49a1f-b985-45f9-8939-90b98bf327cf,2024-04-05 15:36:15.001000,108.48,"[{""amount"":""12.00"",""code"":""BIG20"",""type"":""fixed_amount""}]",12.00,United States,TRU-SB-91404-M-WHT,TRU-LAB-10210-M-BGE,TRU-LAB-10210-M-BLK,TRU-LAB-10210-M-BGE-2PK,SHE-SNC-62001-M-WHT
00ef4672-e69d-4387-9918-a06decd080e6,2024-04-11 15:51:52.001000,103.91,"[{""amount"":""7.80"",""code"":""SHAPE15"",""type"":""fixed_amount""}]",7.80,United States,SHE-HWS-55021-XLXXL-BLK,SHE-HWS-55021-XLXXL-LAT,SHE-HWS-55021-ML-BLK-BGE-2PK,,
58cd2f05-b169-4bc6-86a1-ab441f4204c8,2024-04-07 01:11:39.000000,57.05,"[{""amount"":""7.45"",""code"":""TAKE10NOW"",""type"":""fixed_amount""}]",7.45,Canada,TRU-WSB-10024-XL-WHT-2PK,TRU-SPB-10022-XL-CHT,,,
1f800add-c797-4736-a4fd-1b61eba36e49,2024-04-11 06:21:48.001000,157.08,[],0.00,Canada,SHE-BHEB-13402-3XL-BLK,SHE-SNU-95002-XL-BLK,SHE-FHT-81009-2XL-BLK,,
d6229558-6ecd-41ea-a115-7f6550200c48,2024-03-07 18:20:59.001000,80.38,"[{""amount"":""8.85"",""code"":""SHAPE15"",""type"":""fixed_amount""}]",8.85,United States,SMNT-WB-22428-LTGRAY,TRU-CSB-10400-3XL-BGE,SHE-SNB-95001-3XL-RED,SHE-SNC-62001-3XL-WHT-2PK,
454bf115-4856-4a2f-b966-f742ba96f257,2024-04-11 13:44:32.000000,32.94,[],0.00,United States,SHE-EMS-52002-2XL-LAT,,,,
807fc7f2-164d-4236-ae3f-a1d472cc55d2,2024-02-05 17:12:32.001000,136.95,[],0.00,United States,SHE-HWS-55021-XXXL-SND,SHE-HWS-55021-XXXL-BLK,TRU-RSB-97097-XL-HTRC,TRU-RSB-97097-XL-BLKC,TRU-RSB-97097-XL-WHTC
c6c8f151-acb2-4959-9129-cb0c948dfbf9,2024-02-21 20:17:39.000000,88.96,[],0.00,United States,EMP-OBC-73001-2XL-BLK,EMP-HWBS-18437-2XL-BLK,EMP-CP-44001-S-BLK,,
f8027682-e286-4e6d-8659-bbff2f405298,2024-02-24 03:03:00.001000,122.93,[],0.00,United States,SHE-SNC-62001-L-BLK,SHE-SNC-62001-L-LVD,SHE-SSST-48001-L-CHAI,TRU-LAB3-10210-L-WHT,SHE-SNC-62001-L-RST
18f2558d-e7ab-4c74-9f53-dc6dd222a5d6,2024-01-16 13:26:44.001000,35.27,"[{""amount"":""4.05"",""code"":""START15"",""type"":""fixed_amount""}]",4.05,United States,TRU-WSB-10024-XL-BLK,,,,
b41e04a0-6c0c-4007-a3c1-f3c5d402e346,2024-02-02 16:25:33.001000,65.26,"[{""amount"":""4.35"",""code"":""HEARTS15"",""type"":""fixed_amount""}]",4.35,United States,TRU-WSB-10024-XL-BLK,SHE-SNC-62001-XL-WHT-2PK,,,
